Date,Price,Open,High,Low,Vol.,Change %
4/16/2023,0.09,0.09,0.09,0.09,1.00B,1.04%
4/15/2023,0.09,0.09,0.09,0.09,872.94M,0.25%
4/14/2023,0.09,0.09,0.09,0.09,2.13B,1.55%
4/13/2023,0.09,0.08,0.09,0.08,1.82B,4.70%
4/12/2023,0.08,0.08,0.08,0.08,1.73B,-0.87%
4/11/2023,0.08,0.08,0.09,0.08,1.00B,-0.78%
4/10/2023,0.08,0.08,0.09,0.08,946.43M,1.92%
4/9/2023,0.08,0.08,0.08,0.08,922.45M,2.25%
4/8/2023,0.08,0.08,0.08,0.08,1.22B,-1.07%
4/7/2023,0.08,0.09,0.09,0.08,2.23B,-3.71%
4/6/2023,0.09,0.09,0.09,0.08,3.28B,-7.88%
4/5/2023,0.09,0.10,0.10,0.09,3.34B,-2.60%
4/4/2023,0.10,0.10,0.10,0.09,7.33B,-0.89%
4/3/2023,0.10,0.08,0.10,0.08,8.82B,21.53%
4/2/2023,0.08,0.08,0.09,0.08,2.20B,-3.42%
4/1/2023,0.08,0.08,0.08,0.08,1.85B,6.30%
3/31/2023,0.08,0.07,0.08,0.07,838.34M,3.71%
3/30/2023,0.07,0.08,0.08,0.07,827.59M,-1.85%
3/29/2023,0.08,0.07,0.08,0.07,1.00B,2.45%
3/28/2023,0.07,0.07,0.07,0.07,644.41M,1.30%
3/27/2023,0.07,0.07,0.08,0.07,1.13B,-2.02%
3/26/2023,0.07,0.07,0.08,0.07,480.50M,0.42%
3/25/2023,0.07,0.07,0.08,0.07,658.58M,-0.67%
3/24/2023,0.07,0.08,0.08,0.07,836.54M,-3.63%
3/23/2023,0.08,0.07,0.08,0.07,1.77B,4.82%
3/22/2023,0.07,0.08,0.08,0.07,1.91B,-3.73%
3/21/2023,0.08,0.07,0.08,0.07,1.54B,7.52%
3/20/2023,0.07,0.07,0.08,0.07,1.08B,-4.19%
3/19/2023,0.07,0.07,0.08,0.07,818.63M,2.04%
3/18/2023,0.07,0.08,0.08,0.07,1.38B,-4.53%
3/17/2023,0.08,0.07,0.08,0.07,1.23B,5.34%
3/16/2023,0.07,0.07,0.07,0.07,842.03M,4.23%
3/15/2023,0.07,0.07,0.08,0.07,1.33B,-6.72%
3/14/2023,0.07,0.07,0.08,0.07,1.51B,2.47%
3/13/2023,0.07,0.07,0.07,0.07,1.29B,3.28%
3/12/2023,0.07,0.07,0.07,0.07,949.52M,6.69%
3/11/2023,0.07,0.07,0.07,0.06,1.10B,0.50%
3/10/2023,0.07,0.07,0.07,0.06,1.32B,-0.33%
3/9/2023,0.07,0.07,0.07,0.06,1.51B,-7.26%
3/8/2023,0.07,0.07,0.07,0.07,710.54M,-3.96%
3/7/2023,0.07,0.07,0.08,0.07,715.65M,-0.99%
3/6/2023,0.07,0.07,0.08,0.07,598.78M,0.04%
3/5/2023,0.07,0.07,0.08,0.07,473.26M,0.12%
3/4/2023,0.07,0.08,0.08,0.07,646.45M,-2.79%
3/3/2023,0.08,0.08,0.08,0.07,1.39B,-4.64%
