Date,Price,Open,High,Low,Vol.,Change %
4/16/2023,2100.46,2089.85,2107.71,2073.27,249.75K,0.47%
4/15/2023,2090.61,2100.00,2110.33,2074.35,321.85K,-0.45%
4/14/2023,2099.99,2011.73,2127.63,2009.54,896.29K,4.37%
4/13/2023,2012.14,1917.67,2018.74,1899.96,676.18K,4.99%
4/12/2023,1916.55,1889.84,1930.43,1857.34,630.86K,1.41%
4/11/2023,1889.87,1910.21,1935.76,1884.68,405.34K,-1.07%
4/10/2023,1910.36,1858.73,1916.53,1847.39,434.66K,2.77%
4/9/2023,1858.92,1848.73,1871.91,1825.59,287.13K,0.54%
4/8/2023,1848.96,1863.49,1879.12,1847.74,197.96K,-0.78%
4/7/2023,1863.45,1872.12,1882.60,1844.42,284.29K,-0.48%
4/6/2023,1872.35,1908.84,1908.84,1855.92,396.09K,-1.92%
4/5/2023,1908.98,1870.66,1936.03,1864.63,548.58K,2.06%
4/4/2023,1870.53,1810.82,1887.41,1802.51,622.30K,3.30%
4/3/2023,1810.79,1794.32,1838.69,1764.26,628.70K,0.88%
4/2/2023,1795.05,1820.58,1824.32,1775.86,321.88K,-1.41%
4/1/2023,1820.79,1822.37,1840.21,1811.66,272.92K,-0.05%
3/31/2023,1821.61,1794.06,1845.57,1782.24,554.56K,1.56%
3/30/2023,1793.60,1793.07,1828.92,1767.01,579.68K,0.02%
3/29/2023,1793.17,1774.12,1825.01,1772.81,536.88K,1.16%
3/28/2023,1772.64,1714.97,1792.27,1702.95,536.56K,3.38%
3/27/2023,1714.61,1773.88,1780.06,1691.42,570.46K,-3.35%
3/26/2023,1774.04,1741.97,1796.78,1739.38,354.91K,1.82%
3/25/2023,1742.33,1749.40,1761.62,1714.43,355.71K,-0.40%
3/24/2023,1749.24,1813.60,1818.53,1728.64,564.85K,-3.57%
3/23/2023,1814.09,1734.57,1852.47,1729.35,731.98K,4.60%
3/22/2023,1734.34,1801.84,1818.48,1710.99,891.29K,-3.73%
3/21/2023,1801.56,1732.44,1833.04,1719.59,742.34K,4.00%
3/20/2023,1732.31,1782.31,1802.79,1723.88,682.82K,-2.69%
3/19/2023,1780.15,1759.24,1838.84,1758.67,541.12K,1.22%
3/18/2023,1758.65,1788.71,1833.79,1751.33,711.67K,-1.72%
3/17/2023,1789.42,1673.48,1796.79,1663.67,907.49K,6.91%
3/16/2023,1673.73,1650.01,1689.08,1634.15,627.98K,1.46%
3/15/2023,1649.60,1699.85,1716.53,1614.93,963.20K,-2.97%
3/14/2023,1700.10,1673.72,1776.65,1655.62,1.28M,1.57%
3/13/2023,1673.83,1582.74,1689.97,1565.70,1.23M,5.93%
3/12/2023,1580.17,1472.00,1584.63,1452.24,1.00M,7.42%
3/11/2023,1471.03,1425.97,1475.81,1408.41,1.37M,3.11%
3/10/2023,1426.71,1436.05,1437.30,1371.36,960.49K,-0.75%
3/9/2023,1437.48,1531.51,1545.98,1413.29,718.44K,-6.23%
3/8/2023,1533.04,1562.41,1569.66,1531.32,460.10K,-1.84%
3/7/2023,1561.79,1565.92,1580.92,1536.26,437.98K,-0.26%
3/6/2023,1565.84,1564.22,1581.16,1555.43,307.72K,0.09%
3/5/2023,1564.36,1566.54,1587.99,1556.86,299.30K,-0.15%
3/4/2023,1566.74,1569.00,1577.01,1550.10,237.65K,-0.17%
3/3/2023,1569.46,1648.27,1649.19,1547.59,742.83K,-4.76%
3/2/2023,1647.86,1665.40,1677.43,1620.20,423.02K,-1.10%
3/1/2023,1666.13,1604.95,1668.53,1595.31,473.90K,3.83%
2/28/2023,1604.69,1633.16,1646.33,1598.69,393.50K,-1.77%
2/27/2023,1633.66,1641.60,1665.01,1609.84,431.92K,-0.48%
2/26/2023,1641.61,1594.62,1648.78,1588.65,308.62K,2.94%
2/25/2023,1594.66,1607.91,1608.61,1562.07,290.11K,-0.84%
2/24/2023,1608.24,1650.55,1663.83,1579.56,512.52K,-2.56%
2/23/2023,1650.52,1643.24,1678.15,1630.93,501.35K,0.43%
2/22/2023,1643.40,1659.66,1666.38,1600.77,529.22K,-0.96%
2/21/2023,1659.41,1703.50,1716.38,1637.13,520.24K,-2.58%
2/20/2023,1703.28,1679.93,1719.10,1651.51,451.40K,1.29%
2/19/2023,1681.51,1691.35,1722.14,1671.16,400.87K,-0.60%
2/18/2023,1691.62,1694.03,1708.72,1681.18,267.38K,-0.14%
2/17/2023,1693.97,1636.61,1720.00,1631.88,579.97K,3.24%
2/16/2023,1640.81,1676.45,1738.86,1635.00,832.30K,-2.07%
2/15/2023,1675.47,1556.19,1676.93,1542.67,581.18K,7.72%
2/14/2023,1555.44,1505.88,1565.16,1494.26,668.95K,3.29%
2/13/2023,1505.90,1515.18,1525.56,1464.12,643.15K,-0.63%
2/12/2023,1515.44,1538.51,1547.29,1495.06,286.87K,-1.49%
2/11/2023,1538.33,1513.05,1542.65,1508.06,289.67K,1.62%
2/10/2023,1513.80,1544.54,1554.19,1499.52,484.68K,-2.04%
2/9/2023,1545.34,1651.01,1656.00,1531.22,658.00K,-6.40%
2/8/2023,1651.02,1672.42,1694.32,1631.14,417.97K,-1.22%
2/7/2023,1671.43,1613.20,1676.81,1613.20,451.93K,3.58%
2/6/2023,1613.71,1628.84,1657.75,1606.60,384.10K,-0.97%
2/5/2023,1629.45,1666.09,1671.90,1612.70,413.57K,-2.25%
2/4/2023,1666.92,1663.39,1694.63,1646.10,308.14K,0.19%
2/3/2023,1663.78,1644.56,1673.57,1628.73,465.56K,1.35%
2/2/2023,1641.56,1643.72,1710.24,1632.60,628.35K,-0.04%
2/1/2023,1642.18,1585.51,1647.28,1560.22,474.68K,3.59%
1/31/2023,1585.25,1566.00,1602.00,1562.03,348.47K,1.20%
1/30/2023,1566.50,1644.81,1647.32,1540.29,595.08K,-4.83%
1/29/2023,1646.00,1572.11,1657.18,1566.91,551.82K,4.63%
1/28/2023,1573.11,1597.62,1605.95,1561.38,313.56K,-1.53%
1/27/2023,1597.61,1602.14,1620.12,1560.24,512.50K,-0.31%
1/26/2023,1602.60,1613.59,1629.83,1581.74,533.32K,-0.53%
1/25/2023,1611.22,1553.98,1638.98,1523.70,646.45K,3.55%
1/24/2023,1555.97,1626.00,1641.20,1539.60,462.28K,-4.34%
1/23/2023,1626.53,1627.18,1643.71,1591.82,407.24K,-0.03%
1/22/2023,1627.01,1626.68,1662.10,1609.36,431.74K,0.09%
1/21/2023,1625.49,1655.36,1678.51,1622.88,494.56K,-2.08%
1/20/2023,1660.02,1550.81,1662.28,1543.24,440.92K,7.02%
1/19/2023,1551.09,1510.63,1560.69,1510.63,308.69K,2.64%
1/18/2023,1511.24,1566.18,1604.75,1505.36,752.35K,-3.41%
1/17/2023,1564.63,1576.60,1603.29,1544.30,506.70K,-0.78%
