Date,Price,Open,High,Low,Vol.,Change %
4/16/2023,101.35,96.75,102.04,95.10,810.00K,4.85%
4/15/2023,96.66,96.36,97.29,94.75,343.20K,0.33%
4/14/2023,96.34,94.17,98.88,93.76,1.04M,2.28%
4/13/2023,94.19,92.07,94.53,91.70,607.45K,2.36%
4/12/2023,92.02,94.29,94.65,90.95,713.64K,-2.35%
4/11/2023,94.23,93.84,96.95,93.18,759.08K,0.47%
4/10/2023,93.79,90.57,94.35,89.86,522.21K,3.53%
4/9/2023,90.59,89.91,91.01,89.15,253.68K,0.76%
4/8/2023,89.91,90.61,91.35,89.32,199.11K,-0.74%
4/7/2023,90.58,90.96,91.47,89.23,301.55K,-0.43%
4/6/2023,90.97,92.59,92.59,89.84,385.57K,-1.83%
4/5/2023,92.67,92.49,94.95,91.19,690.27K,0.15%
4/4/2023,92.53,92.99,93.98,91.59,505.40K,-0.48%
4/3/2023,92.98,92.83,95.77,90.06,909.19K,0.18%
4/2/2023,92.81,92.53,94.55,90.55,641.05K,0.27%
4/1/2023,92.56,89.63,94.09,89.38,687.35K,3.34%
3/31/2023,89.57,89.03,90.22,87.63,489.79K,0.56%
3/30/2023,89.07,91.28,93.26,86.77,751.28K,-2.44%
3/29/2023,91.30,89.20,92.95,88.98,709.00K,2.49%
3/28/2023,89.08,89.23,89.55,85.66,881.91K,-0.16%
3/27/2023,89.22,93.32,93.72,87.80,763.81K,-4.48%
3/26/2023,93.40,91.41,94.79,90.64,588.28K,2.05%
3/25/2023,91.52,93.55,93.97,90.03,685.11K,-2.22%
3/24/2023,93.60,93.60,95.75,89.45,1.33M,-0.09%
3/23/2023,93.68,87.36,94.46,85.60,1.87M,7.37%
3/22/2023,87.25,82.39,88.07,79.41,1.76M,5.85%
3/21/2023,82.43,78.08,83.42,76.88,906.64K,5.65%
3/20/2023,78.02,84.02,84.28,77.78,942.45K,-7.03%
3/19/2023,83.92,83.04,86.18,82.14,612.64K,1.10%
3/18/2023,83.01,85.57,87.85,82.30,990.43K,-2.92%
3/17/2023,85.51,78.85,85.51,78.20,935.08K,8.43%
3/16/2023,78.86,76.41,79.75,75.64,792.54K,3.29%
3/15/2023,76.35,84.00,85.40,75.21,1.32M,-9.11%
3/14/2023,84.00,81.60,88.10,79.24,1.37M,3.12%
3/13/2023,81.46,76.24,82.92,74.61,1.84M,6.87%
3/12/2023,76.22,69.21,76.30,67.44,1.39M,10.11%
3/11/2023,69.22,71.44,73.74,65.10,1.90M,-3.09%
3/10/2023,71.43,76.65,76.81,68.41,1.96M,-6.88%
3/9/2023,76.71,82.69,84.90,75.13,1.10M,-7.31%
3/8/2023,82.76,86.31,86.65,81.70,626.05K,-4.09%
3/7/2023,86.29,87.40,88.94,84.35,642.56K,-1.22%
3/6/2023,87.36,89.92,90.60,86.71,628.92K,-2.86%
3/5/2023,89.93,89.29,91.73,89.19,358.53K,0.66%
